age,job,marital,education,default,housing,loan,contact,month,day,duration,campaign,pdays,previous,poutcome
30,unemployed,married,primary,no,no,no,cellular,oct,19,79,1,-1,0,unknown
33,services,married,secondary,no,yes,yes,cellular,may,11,220,1,339,4,failure
35,management,single,tertiary,no,yes,no,cellular,apr,16,185,1,330,1,failure
30,management,married,tertiary,no,yes,yes,unknown,jun,3,199,4,-1,0,unknown
59,blue-collar,married,secondary,no,yes,no,unknown,may,5,226,1,-1,0,unknown
35,management,single,tertiary,no,no,no,cellular,feb,23,141,2,176,3,failure
36,self-employed,married,tertiary,no,yes,no,cellular,may,14,341,1,330,2,other
39,technician,married,secondary,no,yes,no,cellular,may,6,151,2,-1,0,unknown
41,entrepreneur,married,tertiary,no,yes,no,unknown,may,14,57,2,-1,0,unknown
43,services,married,primary,no,yes,yes,cellular,apr,17,313,1,147,2,failure
39,services,married,secondary,no,yes,no,unknown,may,20,273,1,-1,0,unknown
43,admin.,married,secondary,no,yes,no,cellular,apr,17,113,2,-1,0,unknown
36,technician,married,tertiary,no,no,no,cellular,aug,13,328,2,-1,0,unknown
20,student,single,secondary,no,no,no,cellular,apr,30,261,1,-1,0,unknown
31,blue-collar,married,secondary,no,yes,yes,cellular,jan,29,89,1,241,1,failure
40,management,married,tertiary,no,no,yes,cellular,aug,29,189,2,-1,0,unknown
56,technician,married,secondary,no,no,no,cellular,aug,27,239,5,-1,0,unknown
37,admin.,single,tertiary,no,yes,no,cellular,apr,20,114,1,152,2,failure
25,blue-collar,single,primary,no,yes,no,unknown,may,23,250,1,-1,0,unknown
31,services,married,secondary,no,no,no,cellular,jul,7,148,1,152,1,other
38,management,divorced,unknown,no,yes,no,cellular,nov,18,96,2,-1,0,unknown
42,management,divorced,tertiary,no,no,no,cellular,nov,19,140,3,-1,0,unknown
44,services,single,secondary,no,no,no,unknown,jun,12,109,2,-1,0,unknown
44,entrepreneur,married,secondary,no,no,no,cellular,jul,7,125,2,-1,0,unknown
26,housemaid,married,tertiary,no,no,no,cellular,jan,30,169,3,-1,0,unknown
41,management,married,tertiary,no,no,no,cellular,nov,20,182,2,-1,0,unknown
55,blue-collar,married,primary,no,yes,no,unknown,may,5,247,1,-1,0,unknown
